Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq	5299739.0	1583371.0	63741.0	22174944.0	2912.0
SRR5517193_GSM2608320_NMR_NF_0525_KID_Heterocephalus_glaber_RNA-Seq	4046597.0	1177232.0	51634.0	23492440.0	2877.0
SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq	4796192.0	1279903.0	49278.0	20586103.0	0.0
SRR5517195_GSM2608324_NMR_NM_0713_KID_Heterocephalus_glaber_RNA-Seq	3318340.0	842758.0	35251.0	19685500.0	0.0
SRR5517196_GSM2608326_NMR_BF_1090_ADR_Heterocephalus_glaber_RNA-Seq	3359979.0	1010526.0	40907.0	16258834.0	2067.0
SRR5517197_GSM2608328_NMR_BF_1090_KID_Heterocephalus_glaber_RNA-Seq	4518644.0	1183363.0	50515.0	22866143.0	2862.0
SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq	5118181.0	1455542.0	57260.0	21842921.0	2847.0
SRR5517199_GSM2608334_NMR_BM_1147_KID_Heterocephalus_glaber_RNA-Seq	3693487.0	933692.0	36635.0	18804220.0	2347.0
SRR5517200_GSM2608336_NMR_BM_1215_ADR_Heterocephalus_glaber_RNA-Seq	3893669.0	1085219.0	42138.0	16758926.0	2178.0
SRR5517201_GSM2608338_NMR_BM_1215_KID_Heterocephalus_glaber_RNA-Seq	5272284.0	1398505.0	53345.0	24345737.0	0.0
SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq	5435867.0	1468644.0	57939.0	24517457.0	3148.0
SRR5517203_GSM2608343_NMR_BM_1400_KID_Heterocephalus_glaber_RNA-Seq	4299344.0	1053065.0	41411.0	20590636.0	2599.0
SRR5517204_GSM2608345_NMR_NM_1449_ADR_Heterocephalus_glaber_RNA-Seq	4803667.0	1286196.0	50766.0	20599208.0	0.0
SRR5517205_GSM2608347_NMR_NM_1449_KID_Heterocephalus_glaber_RNA-Seq	3761982.0	971887.0	38800.0	19069289.0	0.0
SRR5517206_GSM2608349_NMR_BF_1816_ADR_Heterocephalus_glaber_RNA-Seq	5719452.0	1762727.0	70728.0	22210842.0	2977.0
SRR5517207_GSM2608351_NMR_BF_1816_KID_Heterocephalus_glaber_RNA-Seq	3189412.0	968692.0	40027.0	22057764.0	2626.0
SRR5517208_GSM2608353_NMR_BF_1816_THY_Heterocephalus_glaber_RNA-Seq	4062009.0	960098.0	41422.0	18125766.0	0.0
SRR5517209_GSM2608354_NMR_NF_2411_ADR_Heterocephalus_glaber_RNA-Seq	4657173.0	1262451.0	49310.0	20224517.0	2619.0
SRR5517210_GSM2608356_NMR_NF_2411_KID_Heterocephalus_glaber_RNA-Seq	4642776.0	1134106.0	45514.0	22753838.0	0.0
SRR5517211_GSM2608358_NMR_NF_2969_ADR_Heterocephalus_glaber_RNA-Seq	5060014.0	1587316.0	60189.0	20115607.0	2682.0
SRR5517212_GSM2608360_NMR_NF_2969_KID_Heterocephalus_glaber_RNA-Seq	5071699.0	1222244.0	49278.0	24381766.0	3073.0
SRR5517213_GSM2608362_NMR_BM_3274_ADR_Heterocephalus_glaber_RNA-Seq	4507396.0	1272069.0	51258.0	20772774.0	2660.0
SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq	4514742.0	1017236.0	38110.0	21479214.0	0.0
SRR5517215_GSM2608365_NMR_NM_3295_ADR_Heterocephalus_glaber_RNA-Seq	5200439.0	1445849.0	58425.0	23734737.0	3044.0
SRR5517216_GSM2608368_NMR_NM_3295_KID_Heterocephalus_glaber_RNA-Seq	4297732.0	1026148.0	39908.0	21428721.0	2679.0
SRR5517217_GSM2608370_NMR_NF_3439_ADR_Heterocephalus_glaber_RNA-Seq	4933175.0	1477868.0	60229.0	20325202.0	2680.0
SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	4434646.0	1113023.0	43731.0	22770095.0	2836.0
SRR5517219_GSM2608373_NMR_NF_3605_ADR_Heterocephalus_glaber_RNA-Seq	4365099.0	1255583.0	48116.0	17597388.0	2327.0
SRR5517220_GSM2608374_NMR_NF_3605_KID_Heterocephalus_glaber_RNA-Seq	5047210.0	1254610.0	50997.0	24889104.0	3124.0
SRR5517221_GSM2608376_NMR_NF_4060_ADR_Heterocephalus_glaber_RNA-Seq	4699278.0	1438400.0	59267.0	19450739.0	0.0
SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	4337765.0	1016782.0	40080.0	20229365.0	0.0
