Module	Section	Sample Name	Source
STAR	SummaryLog	SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517294_GSM2608516_NMR_BM_3274_HRT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517294_GSM2608516_NMR_BM_3274_HRT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517289_GSM2608506_NMR_BM_1147_HRT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517289_GSM2608506_NMR_BM_1147_HRT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517280_GSM2608489_NMR_BF_6382_OVR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517280_GSM2608489_NMR_BF_6382_OVR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517417_GSM2608711_NMR_NM_3295_THY_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517417_GSM2608711_NMR_NM_3295_THY_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517385_GSM2608683_NMR_NF_3605_SKN_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517385_GSM2608683_NMR_NF_3605_SKN_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517327_GSM2608576_NMR_NM_1449_CER_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517327_GSM2608576_NMR_NM_1449_CER_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517306_GSM2608537_NMR_BM_6656_HRT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517306_GSM2608537_NMR_BM_6656_HRT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517311_GSM2608547_NMR_NM_0713_HYP_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517311_GSM2608547_NMR_NM_0713_HYP_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517307_GSM2608539_NMR_NF_0525_PIT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517307_GSM2608539_NMR_NF_0525_PIT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517368_GSM2608651_NMR_BF_6382_CER_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517368_GSM2608651_NMR_BF_6382_CER_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517338_GSM2608596_NMR_NM_3295_PIT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517338_GSM2608596_NMR_NM_3295_PIT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517382_GSM2608678_NMR_NF_2969_SKN_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517382_GSM2608678_NMR_NF_2969_SKN_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517384_GSM2608681_NMR_NM_3295_SKN_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517384_GSM2608681_NMR_NM_3295_SKN_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517329_GSM2608579_NMR_BF_1816_CER_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517329_GSM2608579_NMR_BF_1816_CER_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517276_GSM2608481_NMR_NM_6074_TES_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517276_GSM2608481_NMR_NM_6074_TES_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517333_GSM2608587_NMR_NF_2969_PIT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517333_GSM2608587_NMR_NF_2969_PIT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517388_GSM2608689_NMR_BF_4772_SKN_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517388_GSM2608689_NMR_BF_4772_SKN_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517296_GSM2608519_NMR_NF_3439_HRT_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517296_GSM2608519_NMR_NF_3439_HRT_Heterocephalus_glaber_RNA-Seq_Log.final.out
STAR	SummaryLog	SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq	/storage/mrbell/aligned_BAMs/MultiSample/SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq_Log.final.out
