Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq	29124707.0	50.0	5299739.0	18.2	49.36	897802.0	877755.0	885944.0	7748.0	1194.0	2916.0	7.22	0.02	1.66	0.01	1.46	1583371.0	5.44	63741.0	0.22	0.0	76.14	0.01	0	22174944	2912
SRR5517193_GSM2608320_NMR_NF_0525_KID_Heterocephalus_glaber_RNA-Seq	28770780.0	50.0	4046597.0	14.06	49.23	620397.0	605133.0	612889.0	4573.0	782.0	2153.0	7.44	0.02	1.71	0.02	1.4	1177232.0	4.09	51634.0	0.18	0.0	81.66	0.01	0	23492440	2877
SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq	26711476.0	50.0	4796192.0	17.96	49.34	802732.0	783729.0	792050.0	6991.0	951.0	2740.0	7.17	0.02	1.66	0.02	1.49	1279903.0	4.79	49278.0	0.18	0.0	77.06	0.0	0	20586103	0
SRR5517195_GSM2608324_NMR_NM_0713_KID_Heterocephalus_glaber_RNA-Seq	23881849.0	50.0	3318340.0	13.89	49.21	506968.0	492791.0	500632.0	3835.0	572.0	1929.0	7.36	0.02	1.69	0.02	1.42	842758.0	3.53	35251.0	0.15	0.0	82.42	0.0	0	19685500	0
SRR5517196_GSM2608326_NMR_BF_1090_ADR_Heterocephalus_glaber_RNA-Seq	20672313.0	50.0	3359979.0	16.25	49.29	533351.0	518640.0	525471.0	4918.0	701.0	2261.0	7.15	0.02	1.66	0.02	1.47	1010526.0	4.89	40907.0	0.2	0.0	78.65	0.01	0	16258834	2067
SRR5517197_GSM2608328_NMR_BF_1090_KID_Heterocephalus_glaber_RNA-Seq	28621527.0	50.0	4518644.0	15.79	49.3	766246.0	748987.0	757669.0	5597.0	888.0	2092.0	7.51	0.02	1.73	0.01	1.41	1183363.0	4.13	50515.0	0.18	0.0	79.89	0.01	0	22866143	2862
SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq	28476751.0	50.0	5118181.0	17.97	49.36	868014.0	848514.0	856180.0	7792.0	1093.0	2949.0	7.19	0.02	1.66	0.01	1.47	1455542.0	5.11	57260.0	0.2	0.0	76.71	0.01	0	21842921	2847
SRR5517199_GSM2608334_NMR_BM_1147_KID_Heterocephalus_glaber_RNA-Seq	23470381.0	50.0	3693487.0	15.74	49.3	622319.0	608165.0	615169.0	4612.0	726.0	1812.0	7.36	0.02	1.72	0.02	1.43	933692.0	3.98	36635.0	0.16	0.0	80.12	0.01	0	18804220	2347
SRR5517200_GSM2608336_NMR_BM_1215_ADR_Heterocephalus_glaber_RNA-Seq	21782130.0	50.0	3893669.0	17.88	49.35	658482.0	643483.0	649891.0	5581.0	832.0	2178.0	7.22	0.02	1.66	0.02	1.47	1085219.0	4.98	42138.0	0.19	0.0	76.94	0.01	0	16758926	2178
SRR5517201_GSM2608338_NMR_BM_1215_KID_Heterocephalus_glaber_RNA-Seq	31069871.0	50.0	5272284.0	16.97	49.35	887836.0	868540.0	877518.0	6838.0	939.0	2541.0	7.22	0.02	1.72	0.01	1.39	1398505.0	4.5	53345.0	0.17	0.0	78.35	0.0	0	24345737	0
