Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq	4850974.0	5421483.0	251140.0	197625.0
SRR5517193_GSM2608320_NMR_NF_0525_KID_Heterocephalus_glaber_RNA-Seq	3630717.0	3904218.0	231114.0	184766.0
SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq	4391463.0	4308654.0	227354.0	177375.0
SRR5517195_GSM2608324_NMR_NM_0713_KID_Heterocephalus_glaber_RNA-Seq	2972138.0	2751362.0	197130.0	149072.0
SRR5517196_GSM2608326_NMR_BF_1090_ADR_Heterocephalus_glaber_RNA-Seq	3035191.0	3429162.0	201800.0	122988.0
SRR5517197_GSM2608328_NMR_BF_1090_KID_Heterocephalus_glaber_RNA-Seq	4100794.0	3931328.0	221282.0	196568.0
SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq	4673347.0	4928852.0	255501.0	189333.0
SRR5517199_GSM2608334_NMR_BM_1147_KID_Heterocephalus_glaber_RNA-Seq	3361341.0	3040003.0	175364.0	156782.0
SRR5517200_GSM2608336_NMR_BM_1215_ADR_Heterocephalus_glaber_RNA-Seq	3565077.0	3676959.0	182875.0	145717.0
SRR5517201_GSM2608338_NMR_BM_1215_KID_Heterocephalus_glaber_RNA-Seq	4756263.0	4584106.0	289493.0	226528.0
SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq	4965005.0	4946953.0	267772.0	203090.0
SRR5517203_GSM2608343_NMR_BM_1400_KID_Heterocephalus_glaber_RNA-Seq	3920205.0	3429295.0	190740.0	188399.0
SRR5517204_GSM2608345_NMR_NM_1449_ADR_Heterocephalus_glaber_RNA-Seq	4398444.0	4325203.0	225986.0	179237.0
SRR5517205_GSM2608347_NMR_NM_1449_KID_Heterocephalus_glaber_RNA-Seq	3410129.0	3179475.0	184064.0	167789.0
SRR5517206_GSM2608349_NMR_BF_1816_ADR_Heterocephalus_glaber_RNA-Seq	5265807.0	6003124.0	242655.0	210990.0
SRR5517207_GSM2608351_NMR_BF_1816_KID_Heterocephalus_glaber_RNA-Seq	2837470.0	3153680.0	207567.0	144375.0
SRR5517208_GSM2608353_NMR_BF_1816_THY_Heterocephalus_glaber_RNA-Seq	3707416.0	3235800.0	183240.0	171353.0
SRR5517209_GSM2608354_NMR_NF_2411_ADR_Heterocephalus_glaber_RNA-Seq	4259275.0	4251486.0	225107.0	172791.0
SRR5517210_GSM2608356_NMR_NF_2411_KID_Heterocephalus_glaber_RNA-Seq	4217460.0	3712394.0	206293.0	219023.0
SRR5517211_GSM2608358_NMR_NF_2969_ADR_Heterocephalus_glaber_RNA-Seq	4556916.0	5376945.0	318590.0	184508.0
SRR5517212_GSM2608360_NMR_NF_2969_KID_Heterocephalus_glaber_RNA-Seq	4619379.0	3996911.0	223889.0	228431.0
SRR5517213_GSM2608362_NMR_BM_3274_ADR_Heterocephalus_glaber_RNA-Seq	4098415.0	4288789.0	234317.0	174664.0
SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq	4128978.0	3267440.0	191076.0	194688.0
SRR5517215_GSM2608365_NMR_NM_3295_ADR_Heterocephalus_glaber_RNA-Seq	4726543.0	4899490.0	275003.0	198893.0
SRR5517216_GSM2608368_NMR_NM_3295_KID_Heterocephalus_glaber_RNA-Seq	3915666.0	3341584.0	203098.0	178968.0
SRR5517217_GSM2608370_NMR_NF_3439_ADR_Heterocephalus_glaber_RNA-Seq	4515096.0	5074944.0	233683.0	184396.0
SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	4032631.0	3627469.0	207596.0	194419.0
SRR5517219_GSM2608373_NMR_NF_3605_ADR_Heterocephalus_glaber_RNA-Seq	4023398.0	4244961.0	189997.0	151704.0
SRR5517220_GSM2608374_NMR_NF_3605_KID_Heterocephalus_glaber_RNA-Seq	4586598.0	4105294.0	239110.0	221502.0
SRR5517221_GSM2608376_NMR_NF_4060_ADR_Heterocephalus_glaber_RNA-Seq	4302793.0	4938247.0	221047.0	175438.0
SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	3963701.0	3305831.0	185231.0	188833.0
SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	3905991.0	4457228.0	211844.0	158930.0
SRR5517224_GSM2608381_NMR_BF_4121_KID_Heterocephalus_glaber_RNA-Seq	4579774.0	4094393.0	215172.0	229022.0
SRR5517225_GSM2608383_NMR_BF_4772_ADR_Heterocephalus_glaber_RNA-Seq	5142758.0	12357752.0	1420476.0	236828.0
SRR5517226_GSM2608385_NMR_BF_4772_KID_Heterocephalus_glaber_RNA-Seq	2971641.0	3061860.0	216925.0	150605.0
SRR5517227_GSM2608387_NMR_NM_4925_KID_Heterocephalus_glaber_RNA-Seq	3775450.0	3222083.0	176339.0	179788.0
SRR5517228_GSM2608389_NMR_BM_5982_ADR_Heterocephalus_glaber_RNA-Seq	4471847.0	7120351.0	684418.0	193386.0
SRR5517229_GSM2608390_NMR_BM_5982_KID_Heterocephalus_glaber_RNA-Seq	3996435.0	3380248.0	190627.0	194070.0
SRR5517230_GSM2608392_NMR_NM_6074_ADR_Heterocephalus_glaber_RNA-Seq	3821321.0	4249587.0	194987.0	154522.0
SRR5517231_GSM2608394_NMR_NM_6074_KID_Heterocephalus_glaber_RNA-Seq	4210538.0	4041316.0	212584.0	209635.0
SRR5517232_GSM2608396_NMR_NM_6206_ADR_Heterocephalus_glaber_RNA-Seq	4797641.0	4779291.0	298201.0	197528.0
SRR5517233_GSM2608398_NMR_NM_6206_KID_Heterocephalus_glaber_RNA-Seq	3919707.0	3362599.0	190509.0	191775.0
SRR5517234_GSM2608400_NMR_BF_6382_ADR_Heterocephalus_glaber_RNA-Seq	5003860.0	5918846.0	268483.0	206594.0
SRR5517235_GSM2608402_NMR_BF_6382_KID_Heterocephalus_glaber_RNA-Seq	3178268.0	2905542.0	154619.0	149230.0
SRR5517236_GSM2608404_NMR_BM_6656_ADR_Heterocephalus_glaber_RNA-Seq	4346520.0	4404404.0	277892.0	189066.0
SRR5517237_GSM2608405_NMR_BM_6656_KID_Heterocephalus_glaber_RNA-Seq	4235500.0	3772573.0	229105.0	202874.0
SRR5517238_GSM2608407_NMR_BF_6841_ADR_Heterocephalus_glaber_RNA-Seq	5924113.0	6564848.0	291818.0	237274.0
SRR5517239_GSM2608409_NMR_BF_6841_KID_Heterocephalus_glaber_RNA-Seq	4288059.0	4252035.0	253902.0	202370.0
SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq	5369488.0	7415341.0	280976.0	224376.0
SRR5517241_GSM2608412_NMR_NF_0525_THY_Heterocephalus_glaber_RNA-Seq	3781178.0	3394557.0	215201.0	182835.0
SRR5517242_GSM2608414_NMR_NM_0713_TES_Heterocephalus_glaber_RNA-Seq	3238621.0	2820220.0	186037.0	131863.0
SRR5517243_GSM2608416_NMR_NM_0713_THY_Heterocephalus_glaber_RNA-Seq	4233602.0	4231372.0	235552.0	199894.0
SRR5517244_GSM2608418_NMR_BF_1090_OVR_Heterocephalus_glaber_RNA-Seq	3509248.0	4842718.0	206771.0	158257.0
SRR5517245_GSM2608420_NMR_BF_1090_THY_Heterocephalus_glaber_RNA-Seq	4424560.0	3935557.0	184693.0	210171.0
SRR5517246_GSM2608422_NMR_BM_1147_TES_Heterocephalus_glaber_RNA-Seq	4996228.0	4631383.0	235082.0	193528.0
SRR5517247_GSM2608423_NMR_BM_1147_THY_Heterocephalus_glaber_RNA-Seq	3915074.0	3972360.0	258768.0	217389.0
SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq	4433025.0	4936752.0	229258.0	177717.0
SRR5517249_GSM2608427_NMR_BM_1215_THY_Heterocephalus_glaber_RNA-Seq	2925231.0	2913129.0	266491.0	142849.0
SRR5517250_GSM2608429_NMR_BM_1400_TES_Heterocephalus_glaber_RNA-Seq	4606379.0	4423961.0	221860.0	185161.0
SRR5517251_GSM2608431_NMR_BM_1400_THY_Heterocephalus_glaber_RNA-Seq	3109569.0	3565289.0	256840.0	157436.0
SRR5517252_GSM2608433_NMR_NM_1449_TES_Heterocephalus_glaber_RNA-Seq	5884590.0	5131648.0	240648.0	230597.0
SRR5517253_GSM2608435_NMR_NM_1449_THY_Heterocephalus_glaber_RNA-Seq	2991249.0	3181738.0	212407.0	147986.0
SRR5517254_GSM2608437_NMR_BF_1816_HRT_Heterocephalus_glaber_RNA-Seq	3555275.0	2967624.0	140911.0	158503.0
SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq	5645858.0	7200109.0	275535.0	234108.0
SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq	4142934.0	5601896.0	224913.0	176072.0
SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq	3632751.0	3454998.0	175012.0	164088.0
SRR5517258_GSM2608444_NMR_NF_2969_OVR_Heterocephalus_glaber_RNA-Seq	3553904.0	4599098.0	238252.0	155763.0
SRR5517259_GSM2608446_NMR_NF_2969_THY_Heterocephalus_glaber_RNA-Seq	3760375.0	3770263.0	211069.0	176625.0
SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq	3630535.0	3850725.0	216297.0	149069.0
SRR5517261_GSM2608452_NMR_BM_3274_THY_Heterocephalus_glaber_RNA-Seq	4601124.0	4050877.0	234152.0	216564.0
SRR5517262_GSM2608454_NMR_NM_3295_TES_Heterocephalus_glaber_RNA-Seq	4207375.0	4293065.0	202030.0	166404.0
SRR5517263_GSM2608456_NMR_NF_3439_OVR_Heterocephalus_glaber_RNA-Seq	4749217.0	5976829.0	241490.0	194293.0
SRR5517264_GSM2608457_NMR_NF_3439_THY_Heterocephalus_glaber_RNA-Seq	3415820.0	3223232.0	194776.0	168434.0
SRR5517265_GSM2608459_NMR_NF_3605_OVR_Heterocephalus_glaber_RNA-Seq	3901286.0	5138285.0	203305.0	164797.0
SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq	4769744.0	6742043.0	266514.0	211958.0
SRR5517267_GSM2608463_NMR_NF_4060_THY_Heterocephalus_glaber_RNA-Seq	4227609.0	3430483.0	190210.0	193661.0
SRR5517268_GSM2608465_NMR_BF_4121_OVR_Heterocephalus_glaber_RNA-Seq	4757519.0	6908550.0	290841.0	212627.0
SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq	4251247.0	3883936.0	188669.0	201980.0
SRR5517270_GSM2608469_NMR_BF_4772_OVR_Heterocephalus_glaber_RNA-Seq	3863123.0	5381473.0	225278.0	173290.0
SRR5517271_GSM2608471_NMR_BF_4772_THY_Heterocephalus_glaber_RNA-Seq	3475058.0	3401492.0	170093.0	171856.0
SRR5517272_GSM2608473_NMR_NM_4925_TES_Heterocephalus_glaber_RNA-Seq	5583762.0	4959858.0	252272.0	213888.0
SRR5517273_GSM2608475_NMR_NM_4925_THY_Heterocephalus_glaber_RNA-Seq	3556638.0	3518436.0	210970.0	174397.0
SRR5517274_GSM2608477_NMR_BM_5982_TES_Heterocephalus_glaber_RNA-Seq	6149896.0	5941985.0	278269.0	246094.0
SRR5517275_GSM2608479_NMR_BM_5982_THY_Heterocephalus_glaber_RNA-Seq	3138035.0	2688026.0	146256.0	147415.0
SRR5517276_GSM2608481_NMR_NM_6074_TES_Heterocephalus_glaber_RNA-Seq	4835436.0	4414644.0	209291.0	187906.0
SRR5517277_GSM2608483_NMR_NM_6074_THY_Heterocephalus_glaber_RNA-Seq	4342945.0	3907721.0	231736.0	202366.0
SRR5517278_GSM2608485_NMR_NM_6206_TES_Heterocephalus_glaber_RNA-Seq	4335960.0	3595616.0	182106.0	166203.0
SRR5517279_GSM2608487_NMR_NM_6206_THY_Heterocephalus_glaber_RNA-Seq	3800622.0	3596289.0	199911.0	178138.0
SRR5517280_GSM2608489_NMR_BF_6382_OVR_Heterocephalus_glaber_RNA-Seq	5051595.0	6779445.0	269913.0	212022.0
SRR5517281_GSM2608491_NMR_BF_6382_THY_Heterocephalus_glaber_RNA-Seq	5112580.0	4060075.0	194787.0	230420.0
SRR5517282_GSM2608493_NMR_BM_6656_TES_Heterocephalus_glaber_RNA-Seq	4968907.0	5213934.0	252101.0	195669.0
SRR5517283_GSM2608495_NMR_BM_6656_THY_Heterocephalus_glaber_RNA-Seq	3555126.0	3378132.0	204846.0	173472.0
SRR5517284_GSM2608497_NMR_BF_6841_OVR_Heterocephalus_glaber_RNA-Seq	5095685.0	7272812.0	310451.0	218692.0
SRR5517285_GSM2608499_NMR_BF_6841_THY_Heterocephalus_glaber_RNA-Seq	4207052.0	3356057.0	154267.0	195259.0
SRR5517286_GSM2608500_NMR_NF_0525_HRT_Heterocephalus_glaber_RNA-Seq	2619953.0	2383864.0	179157.0	107157.0
SRR5517287_GSM2608502_NMR_NM_0713_HRT_Heterocephalus_glaber_RNA-Seq	3367534.0	2616042.0	132812.0	151828.0
SRR5517288_GSM2608504_NMR_BF_1090_HRT_Heterocephalus_glaber_RNA-Seq	4014435.0	3118076.0	162533.0	172745.0
SRR5517289_GSM2608506_NMR_BM_1147_HRT_Heterocephalus_glaber_RNA-Seq	4301480.0	3410000.0	169018.0	186822.0
SRR5517290_GSM2608508_NMR_BM_1400_HRT_Heterocephalus_glaber_RNA-Seq	4447372.0	3514991.0	170875.0	196285.0
SRR5517291_GSM2608510_NMR_NM_1449_HRT_Heterocephalus_glaber_RNA-Seq	3167246.0	2492758.0	120007.0	141315.0
SRR5517292_GSM2608512_NMR_NF_2411_HRT_Heterocephalus_glaber_RNA-Seq	3260657.0	3130562.0	241718.0	144495.0
SRR5517293_GSM2608514_NMR_NF_2969_HRT_Heterocephalus_glaber_RNA-Seq	3058139.0	2432965.0	128412.0	133195.0
SRR5517294_GSM2608516_NMR_BM_3274_HRT_Heterocephalus_glaber_RNA-Seq	4562979.0	3412991.0	173557.0	200391.0
SRR5517295_GSM2608518_NMR_NM_3295_HRT_Heterocephalus_glaber_RNA-Seq	3179877.0	2398550.0	129239.0	139220.0
SRR5517296_GSM2608519_NMR_NF_3439_HRT_Heterocephalus_glaber_RNA-Seq	4775918.0	3778072.0	195256.0	212594.0
SRR5517297_GSM2608521_NMR_NF_3605_HRT_Heterocephalus_glaber_RNA-Seq	4100121.0	3217724.0	162405.0	198236.0
SRR5517298_GSM2608523_NMR_NF_4060_HRT_Heterocephalus_glaber_RNA-Seq	3773963.0	2960248.0	164008.0	166643.0
SRR5517299_GSM2608525_NMR_BF_4121_HRT_Heterocephalus_glaber_RNA-Seq	3849244.0	2923356.0	159162.0	164370.0
SRR5517300_GSM2608526_NMR_BF_4772_HRT_Heterocephalus_glaber_RNA-Seq	3899390.0	3197866.0	170805.0	167912.0
SRR5517301_GSM2608528_NMR_NM_4925_HRT_Heterocephalus_glaber_RNA-Seq	4321902.0	3296052.0	166990.0	190402.0
SRR5517302_GSM2608530_NMR_BM_5982_HRT_Heterocephalus_glaber_RNA-Seq	4840787.0	3815158.0	197341.0	214200.0
SRR5517303_GSM2608532_NMR_NM_6074_HRT_Heterocephalus_glaber_RNA-Seq	4047806.0	3315789.0	181591.0	181930.0
SRR5517304_GSM2608534_NMR_NM_6206_HRT_Heterocephalus_glaber_RNA-Seq	4562842.0	3508304.0	176575.0	207942.0
SRR5517305_GSM2608536_NMR_BF_6382_HRT_Heterocephalus_glaber_RNA-Seq	3697267.0	3100327.0	145365.0	171766.0
SRR5517306_GSM2608537_NMR_BM_6656_HRT_Heterocephalus_glaber_RNA-Seq	4145116.0	3055749.0	154145.0	186238.0
