Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq	10721222	4850974	0	0	0	0	0	0	0	5421483	0	0	251140	0	197625	45.24646537493581
SRR5517193_GSM2608320_NMR_NF_0525_KID_Heterocephalus_glaber_RNA-Seq	7950815	3630717	0	0	0	0	0	0	0	3904218	0	0	231114	0	184766	45.66471487514173
SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq	9104846	4391463	0	0	0	0	0	0	0	4308654	0	0	227354	0	177375	48.23215021978406
SRR5517195_GSM2608324_NMR_NM_0713_KID_Heterocephalus_glaber_RNA-Seq	6069702	2972138	0	0	0	0	0	0	0	2751362	0	0	197130	0	149072	48.96678617830002
SRR5517196_GSM2608326_NMR_BF_1090_ADR_Heterocephalus_glaber_RNA-Seq	6789141	3035191	0	0	0	0	0	0	0	3429162	0	0	201800	0	122988	44.706554187046635
SRR5517197_GSM2608328_NMR_BF_1090_KID_Heterocephalus_glaber_RNA-Seq	8449972	4100794	0	0	0	0	0	0	0	3931328	0	0	221282	0	196568	48.53026731922899
SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq	10047033	4673347	0	0	0	0	0	0	0	4928852	0	0	255501	0	189333	46.51469742360755
SRR5517199_GSM2608334_NMR_BM_1147_KID_Heterocephalus_glaber_RNA-Seq	6733490	3361341	0	0	0	0	0	0	0	3040003	0	0	175364	0	156782	49.91974444158973
SRR5517200_GSM2608336_NMR_BM_1215_ADR_Heterocephalus_glaber_RNA-Seq	7570628	3565077	0	0	0	0	0	0	0	3676959	0	0	182875	0	145717	47.09090183799812
SRR5517201_GSM2608338_NMR_BM_1215_KID_Heterocephalus_glaber_RNA-Seq	9856390	4756263	0	0	0	0	0	0	0	4584106	0	0	289493	0	226528	48.25562908935218
SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq	10382820	4965005	0	0	0	0	0	0	0	4946953	0	0	267772	0	203090	47.81942670680991
SRR5517203_GSM2608343_NMR_BM_1400_KID_Heterocephalus_glaber_RNA-Seq	7728639	3920205	0	0	0	0	0	0	0	3429295	0	0	190740	0	188399	50.72309626572027
SRR5517204_GSM2608345_NMR_NM_1449_ADR_Heterocephalus_glaber_RNA-Seq	9128870	4398444	0	0	0	0	0	0	0	4325203	0	0	225986	0	179237	48.18169170992686
