Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
SRR5517192_GSM2608318_NMR_NF_0525_ADR_Heterocephalus_glaber_RNA-Seq	45.24646537493581	4850974
SRR5517193_GSM2608320_NMR_NF_0525_KID_Heterocephalus_glaber_RNA-Seq	45.66471487514173	3630717
SRR5517194_GSM2608322_NMR_NM_0713_ADR_Heterocephalus_glaber_RNA-Seq	48.23215021978406	4391463
SRR5517195_GSM2608324_NMR_NM_0713_KID_Heterocephalus_glaber_RNA-Seq	48.96678617830002	2972138
SRR5517196_GSM2608326_NMR_BF_1090_ADR_Heterocephalus_glaber_RNA-Seq	44.706554187046635	3035191
SRR5517197_GSM2608328_NMR_BF_1090_KID_Heterocephalus_glaber_RNA-Seq	48.53026731922899	4100794
SRR5517198_GSM2608330_NMR_BM_1147_ADR_Heterocephalus_glaber_RNA-Seq	46.51469742360755	4673347
SRR5517199_GSM2608334_NMR_BM_1147_KID_Heterocephalus_glaber_RNA-Seq	49.91974444158973	3361341
SRR5517200_GSM2608336_NMR_BM_1215_ADR_Heterocephalus_glaber_RNA-Seq	47.09090183799812	3565077
SRR5517201_GSM2608338_NMR_BM_1215_KID_Heterocephalus_glaber_RNA-Seq	48.25562908935218	4756263
SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq	47.81942670680991	4965005
SRR5517203_GSM2608343_NMR_BM_1400_KID_Heterocephalus_glaber_RNA-Seq	50.72309626572027	3920205
SRR5517204_GSM2608345_NMR_NM_1449_ADR_Heterocephalus_glaber_RNA-Seq	48.18169170992686	4398444
SRR5517205_GSM2608347_NMR_NM_1449_KID_Heterocephalus_glaber_RNA-Seq	49.12699163878707	3410129
SRR5517206_GSM2608349_NMR_BF_1816_ADR_Heterocephalus_glaber_RNA-Seq	44.92022060680178	5265807
SRR5517207_GSM2608351_NMR_BF_1816_KID_Heterocephalus_glaber_RNA-Seq	44.73323104883234	2837470
SRR5517208_GSM2608353_NMR_BF_1816_THY_Heterocephalus_glaber_RNA-Seq	50.80176803750276	3707416
SRR5517209_GSM2608354_NMR_NF_2411_ADR_Heterocephalus_glaber_RNA-Seq	47.81050660935613	4259275
SRR5517210_GSM2608356_NMR_NF_2411_KID_Heterocephalus_glaber_RNA-Seq	50.47724941563128	4217460
SRR5517211_GSM2608358_NMR_NF_2969_ADR_Heterocephalus_glaber_RNA-Seq	43.6613385182408	4556916
SRR5517212_GSM2608360_NMR_NF_2969_KID_Heterocephalus_glaber_RNA-Seq	50.93811510253501	4619379
SRR5517213_GSM2608362_NMR_BM_3274_ADR_Heterocephalus_glaber_RNA-Seq	46.593096893710175	4098415
SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq	53.05681619885014	4128978
SRR5517215_GSM2608365_NMR_NM_3295_ADR_Heterocephalus_glaber_RNA-Seq	46.797784420068695	4726543
SRR5517216_GSM2608368_NMR_NM_3295_KID_Heterocephalus_glaber_RNA-Seq	51.25676173102409	3915666
SRR5517217_GSM2608370_NMR_NF_3439_ADR_Heterocephalus_glaber_RNA-Seq	45.11433167411379	4515096
SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	50.01951721105442	4032631
SRR5517219_GSM2608373_NMR_NF_3605_ADR_Heterocephalus_glaber_RNA-Seq	46.729035570019256	4023398
SRR5517220_GSM2608374_NMR_NF_3605_KID_Heterocephalus_glaber_RNA-Seq	50.113040103560735	4586598
SRR5517221_GSM2608376_NMR_NF_4060_ADR_Heterocephalus_glaber_RNA-Seq	44.64624475682294	4302793
SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	51.85649529357648	3963701
SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	44.72170976093066	3905991
SRR5517224_GSM2608381_NMR_BF_4121_KID_Heterocephalus_glaber_RNA-Seq	50.2258465090382	4579774
SRR5517225_GSM2608383_NMR_BF_4772_ADR_Heterocephalus_glaber_RNA-Seq	26.844179612559138	5142758
SRR5517226_GSM2608385_NMR_BF_4772_KID_Heterocephalus_glaber_RNA-Seq	46.42441194238865	2971641
SRR5517227_GSM2608387_NMR_NM_4925_KID_Heterocephalus_glaber_RNA-Seq	51.34110089397661	3775450
SRR5517228_GSM2608389_NMR_BM_5982_ADR_Heterocephalus_glaber_RNA-Seq	35.86083626931254	4471847
SRR5517229_GSM2608390_NMR_BM_5982_KID_Heterocephalus_glaber_RNA-Seq	51.491294073992	3996435
SRR5517230_GSM2608392_NMR_NM_6074_ADR_Heterocephalus_glaber_RNA-Seq	45.38161233582612	3821321
