#Transcript position	Transcript coverage profile
0.0	1319.6706497194673
1.0	1609.4802030635553
2.0	1762.2167954003926
3.0	1907.4275051727661
4.0	2033.6996746402642
5.0	2232.037044467898
6.0	2356.750934553278
7.0	2462.4524873967716
8.0	2544.226765188996
9.0	2598.8347065173384
10.0	2708.4536241935402
11.0	2697.0350060033948
12.0	2742.2279234207967
13.0	2789.608552415845
14.0	2909.3340173866013
15.0	3059.4959065324056
16.0	3132.0830803675026
17.0	3160.2893456857364
18.0	3078.688512529047
19.0	3024.078770892179
20.0	3095.0039008443496
21.0	3399.48118133688
22.0	3565.674882247169
23.0	3627.0722282172183
24.0	3642.383080414224
25.0	3526.5632958116253
26.0	3407.344884086771
27.0	3513.970167963712
28.0	3590.183994195006
29.0	3617.0178263362304
30.0	3689.3821549383424
31.0	3768.8430836834946
32.0	3934.67617336172
33.0	4126.091449126623
34.0	4224.066793898932
35.0	4135.8531690244745
36.0	3981.7343367439566
37.0	3891.5430944726854
38.0	3846.5792607656826
39.0	3779.014414057338
40.0	3650.9719014322454
41.0	3585.8459946617363
42.0	3579.6900014059984
43.0	3561.453385733468
44.0	3474.665029022261
45.0	3442.861500184835
46.0	3499.208321719867
47.0	3530.742307758574
48.0	3478.278472201681
49.0	3496.4424780103877
50.0	3634.1517235972806
51.0	3679.729320113364
52.0	3625.894063181075
53.0	3681.568196704863
54.0	3809.5801778421724
55.0	4000.385937845101
56.0	3994.329701810126
57.0	3905.7355004820593
58.0	3857.785084464951
59.0	3797.6813293437403
60.0	3795.0670159093393
61.0	3791.7881135029374
62.0	3715.727637088424
63.0	3537.8002066218933
64.0	3422.695490090556
65.0	3345.0964896233345
66.0	3246.2058042236854
67.0	3207.9680359560316
68.0	3144.7815506667753
69.0	3134.393790854909
70.0	3070.7772541986665
71.0	3127.6740421633876
72.0	3185.825616284951
73.0	3134.8189481871677
74.0	3077.8927664570892
75.0	3057.49179181759
76.0	3015.6786146769455
77.0	2909.0694420740138
78.0	2855.1104918012093
79.0	2793.332503177972
80.0	2730.891097458005
81.0	2670.967807835589
82.0	2561.0836895866023
83.0	2502.130622106058
84.0	2313.535776124284
85.0	2336.4345734468866
86.0	2239.647201756115
87.0	2093.410615652694
88.0	1856.9833353443505
89.0	1681.4536845647035
90.0	1527.9910391236838
91.0	1378.9787814663218
92.0	1254.4040497224905
93.0	1083.4670720816337
94.0	978.1910880500392
95.0	785.8479578086116
96.0	501.70486479980997
97.0	334.12743459763783
98.0	194.0275042880369
99.0	38.804214269491226
