#Transcript position	Transcript coverage profile
0.0	5261.6152445953585
1.0	6236.804147689672
2.0	6830.237423912634
3.0	7392.111839238605
4.0	7892.855541843426
5.0	8456.797333273817
6.0	8836.87824193738
7.0	9250.92031050248
8.0	9614.204487262352
9.0	9898.255780547739
10.0	10280.55193896214
11.0	10436.921139888402
12.0	10609.362829530995
13.0	10910.287539171084
14.0	11292.964378649916
15.0	11689.911843105114
16.0	11893.09674871121
17.0	11974.154525930731
18.0	11892.951175543898
19.0	11816.083848233968
20.0	11911.641815655159
21.0	12283.7873836826
22.0	12544.5664283268
23.0	12730.317129541256
24.0	12845.59925414174
25.0	12787.045803831026
26.0	12721.867155208893
27.0	12923.466013858952
28.0	13039.67410729324
29.0	13122.888446198807
30.0	13248.923324361343
31.0	13306.11410215009
32.0	13514.007426528711
33.0	13674.741560475546
34.0	13751.999614867778
35.0	13632.174361074474
36.0	13423.935888245936
37.0	13305.088904267259
38.0	13241.633250735013
39.0	13218.37116341954
40.0	13144.214723628149
41.0	12948.815221583658
42.0	12998.542956994062
43.0	13053.892270921044
44.0	12987.409293554003
45.0	12963.693756551864
46.0	13001.53523309043
47.0	13015.670256019068
48.0	12942.320101481706
49.0	13015.538782535445
50.0	13154.50545770173
51.0	13083.95049060924
52.0	12894.122094008098
53.0	12745.331026848617
54.0	12759.566705857913
55.0	12956.423515651006
56.0	12926.730111749266
57.0	12771.837569761134
58.0	12726.069769870013
59.0	12694.919530823045
60.0	12608.925156990952
61.0	12535.566007602863
62.0	12493.481831310872
63.0	12328.5230416652
64.0	12200.530238180816
65.0	12146.678202751991
66.0	11981.663533098952
67.0	11872.576218698712
68.0	11625.843416465224
69.0	11463.952927039012
70.0	11220.079882538716
71.0	11225.25267281424
72.0	11222.063996888981
73.0	11083.38198980863
74.0	10964.485218005972
75.0	10855.894598726361
76.0	10772.128785687355
77.0	10674.637825378588
78.0	10635.584057486614
79.0	10509.523605490802
80.0	10336.317032375655
81.0	10025.995955338922
82.0	9785.654917357568
83.0	9550.207579636186
84.0	9185.731042111038
85.0	9034.800814863227
86.0	8747.304264419077
87.0	8375.520324994131
88.0	7815.516218250424
89.0	7297.717090448815
90.0	6796.052337780032
91.0	6216.900974407446
92.0	5715.702855671786
93.0	5234.8496755295355
94.0	4733.40577082962
95.0	4063.3797606891653
96.0	3258.973352942618
97.0	2435.20906913401
98.0	1513.7362348488193
99.0	486.742932142772
