#Transcript position	Transcript coverage profile
0.0	742.0210459704923
1.0	946.5114442632134
2.0	1021.98514969903
3.0	1077.521033353953
4.0	1182.1119029961199
5.0	1344.5387367216192
6.0	1435.0328237925562
7.0	1608.6773892247531
8.0	1682.0802367448377
9.0	1697.1379608368095
10.0	1686.8338395508877
11.0	1648.756514052035
12.0	1618.889209560207
13.0	1650.3559486894856
14.0	1722.6356185472227
15.0	1819.9746871296818
16.0	1979.8694937063237
17.0	2066.436716285303
18.0	2016.7754491509968
19.0	1921.3717025370413
20.0	2013.7238999254153
21.0	2278.811559306539
22.0	2434.814108624193
23.0	2541.551761554361
24.0	2553.4794260204685
25.0	2508.9247609864256
26.0	2403.7880990914223
27.0	2437.3667849517224
28.0	2401.5582335144527
29.0	2507.933013371611
30.0	2476.05836309601
31.0	2327.733360831755
32.0	2460.1434756274166
33.0	2590.704678669554
34.0	2732.5569583527517
35.0	2698.237116062605
36.0	2637.3345606710322
37.0	2649.2696058470906
38.0	2611.0677458741507
39.0	2581.230794100358
40.0	2643.8219407661245
41.0	2876.9495321059576
42.0	3059.8034557735673
43.0	3202.3511138632784
44.0	3264.7685873134096
45.0	3176.0479797812436
46.0	3139.270627297072
47.0	3082.783072225828
48.0	3086.1650957298425
49.0	3258.526887867594
50.0	3393.8664285219897
51.0	3363.849748978128
52.0	3229.0256832619802
53.0	3077.992508247218
54.0	3151.7934255261703
55.0	3205.823221488416
56.0	2933.4334487803894
57.0	2809.207064034718
58.0	2840.646568548274
59.0	2718.907435535224
60.0	2548.8854306388403
61.0	2526.934493365608
62.0	2495.2925231361564
63.0	2421.5940034089595
64.0	2416.2131617598848
65.0	2353.5903775690253
66.0	2269.033684652887
67.0	2298.659411739536
68.0	2302.7270808837075
69.0	2335.891302177198
70.0	2302.786925501015
71.0	2311.8237064786954
72.0	2221.49786957275
73.0	2146.7354314291943
74.0	2116.8809449464993
75.0	2093.78567580444
76.0	2097.312313801831
77.0	2082.1570055682314
78.0	2135.098057871156
79.0	2143.498720684116
80.0	1988.078439424252
81.0	1751.745697214754
82.0	1725.8448230859053
83.0	1718.4389202083325
84.0	1636.6162768752715
85.0	1645.262232394466
86.0	1591.4484908210293
87.0	1476.5368067714098
88.0	1385.5340785351598
89.0	1308.9166562507526
90.0	1190.945412709735
91.0	1043.6841813572712
92.0	918.5361740495858
93.0	801.6652796315275
94.0	742.2897235869228
95.0	593.01667243643
96.0	395.3614931390651
97.0	301.2792935463208
98.0	165.50864332862636
99.0	32.9551872720572
