#Transcript position	Transcript coverage profile
0.0	3191.809543477315
1.0	3863.747104517957
2.0	4215.302303072398
3.0	4526.549988386846
4.0	4836.369117222387
5.0	5230.987816191994
6.0	5475.08731773937
7.0	5786.6446402226375
8.0	6000.553515366827
9.0	6178.964185785081
10.0	6351.765849421175
11.0	6463.85243924607
12.0	6540.12790425146
13.0	6732.434801580831
14.0	6937.269012827676
15.0	7171.633447052455
16.0	7400.651707277349
17.0	7532.201818184529
18.0	7524.02818421032
19.0	7465.111218947343
20.0	7591.368395197459
21.0	7933.027304250162
22.0	8177.997587647753
23.0	8356.941220543202
24.0	8420.397842860235
25.0	8396.866612812019
26.0	8356.994592817895
27.0	8485.48659809193
28.0	8521.148941182819
29.0	8679.230808774792
30.0	8747.084407839628
31.0	8649.64546395301
32.0	8831.505767343142
33.0	8993.266592513633
34.0	9123.985737999901
35.0	9104.488894587708
36.0	9053.893651022412
37.0	9073.35798861949
38.0	9088.267588967943
39.0	9116.486018944017
40.0	9233.722218005161
41.0	9428.713152474518
42.0	9601.61288270779
43.0	9761.979894859687
44.0	9863.247338267538
45.0	9800.10971584156
46.0	9752.430974448356
47.0	9693.019028889485
48.0	9669.12294152327
49.0	9807.129482974458
50.0	9941.063736957401
51.0	9877.523697864257
52.0	9682.737175588798
53.0	9473.278532717819
54.0	9533.724719352582
55.0	9625.763917219045
56.0	9369.59847312316
57.0	9228.981210258871
58.0	9262.130231513536
59.0	9134.722466061117
60.0	8961.627759264926
61.0	8950.19024858787
62.0	8941.153435108137
63.0	8847.625577335953
64.0	8792.029158542819
65.0	8755.181213929307
66.0	8655.843659571305
67.0	8638.931339018382
68.0	8549.219624115696
69.0	8526.355457059119
70.0	8393.408581767471
71.0	8376.01856145994
72.0	8225.196937591227
73.0	8118.539423017271
74.0	8045.922562580509
75.0	7947.631402771007
76.0	7905.201988577685
77.0	7898.655998959305
78.0	7931.5071394952265
79.0	7889.192273173169
80.0	7734.914136654124
81.0	7420.704359272534
82.0	7336.0082541227985
83.0	7196.230795172788
84.0	6986.915973869228
85.0	6837.309625461923
86.0	6643.250050825767
87.0	6379.231458457137
88.0	6057.215190910376
89.0	5747.8251040877785
90.0	5385.0088057180155
91.0	4938.427427685134
92.0	4534.747732967808
93.0	4184.660692440245
94.0	3830.9437591218807
95.0	3295.789674438954
96.0	2686.309590680461
97.0	2029.1772569728507
98.0	1195.9845141679648
99.0	366.64999199694773
