#Transcript position	Transcript coverage profile
0.0	1066.18378357417
1.0	1281.4568999566345
2.0	1400.1255550680949
3.0	1506.6642290861835
4.0	1605.144973965548
5.0	1742.8816787696212
6.0	1823.8639456292872
7.0	1898.4335121453107
8.0	1956.5879693417867
9.0	2005.3261563314072
10.0	2076.724923313402
11.0	2014.8081470290983
12.0	2000.4745143002738
13.0	2034.057918398654
14.0	2129.6417480268683
15.0	2278.4289501677576
16.0	2346.7057996335493
17.0	2371.9089558902665
18.0	2327.235063369646
19.0	2297.007872624836
20.0	2380.17264127833
21.0	2629.1650924927067
22.0	2756.194893867507
23.0	2779.2088409580065
24.0	2751.5385654214897
25.0	2663.0224207245105
26.0	2597.4206444759484
27.0	2674.174098486885
28.0	2714.9144893627304
29.0	2727.322485431978
30.0	2791.8096625206467
31.0	2836.774055636563
32.0	2972.7457995695586
33.0	3143.4581317292254
34.0	3217.7182711842024
35.0	3150.01220363207
36.0	3023.2595667744754
37.0	2958.1398143029564
38.0	2925.4192218762173
39.0	2877.848993303474
40.0	2780.830897408322
41.0	2740.6920558328984
42.0	2745.9921779586384
43.0	2737.1967833220024
44.0	2674.4285666960595
45.0	2660.8880476154277
46.0	2702.646502322048
47.0	2757.3566189989124
48.0	2724.5172397815586
49.0	2731.9914781112266
50.0	2852.3752804562455
51.0	2873.802269143824
52.0	2842.1295212985897
53.0	2879.162628271655
54.0	2948.898753925636
55.0	3089.5724104141955
56.0	3074.800690138493
57.0	3015.34287228718
58.0	2969.2129373880007
59.0	2919.8661941709775
60.0	2909.8473066567662
61.0	2859.59384868419
62.0	2814.1916410486087
63.0	2708.173566172282
64.0	2655.4854548840935
65.0	2597.4253319535674
66.0	2507.3585609657703
67.0	2461.4334026219844
68.0	2408.8487214299957
69.0	2409.376799312406
70.0	2352.2398187330623
71.0	2417.61505522854
72.0	2485.4593222895464
73.0	2440.338239550181
74.0	2369.574801431506
75.0	2349.8759845416653
76.0	2340.3524727307135
77.0	2271.858151313764
78.0	2239.2524639801454
79.0	2197.762999801612
80.0	2162.1661233962477
81.0	2109.3724846405194
82.0	2029.729140015638
83.0	1987.4432587366657
84.0	1828.6213134379284
85.0	1843.9619170859455
86.0	1777.0900191189928
87.0	1657.6657147124133
88.0	1482.43782869889
89.0	1356.5560036414608
90.0	1247.9117106017675
91.0	1149.945575370642
92.0	1057.8242848398504
93.0	922.077634658268
94.0	838.1339069277828
95.0	684.9784419992064
96.0	441.67748000019367
97.0	294.29251189269104
98.0	170.72851421760757
99.0	32.213555353229104
