#Transcript position	Transcript coverage profile
0.0	4538.7306044915595
1.0	5337.8196883670835
2.0	5818.889219826578
3.0	6264.88694477949
4.0	6670.209922039723
5.0	7143.443399480071
6.0	7475.300478825338
7.0	7805.203672273582
8.0	8085.128287364186
9.0	8319.222068471383
10.0	8629.70381422911
11.0	8748.123259666178
12.0	8878.555838656412
13.0	9113.073042800592
14.0	9405.733257619306
15.0	9726.34577005799
16.0	9874.77240760507
17.0	9937.262552485887
18.0	9903.261544634914
19.0	9850.570737810487
20.0	9957.34295229691
21.0	10223.390546465156
22.0	10414.78352863543
23.0	10548.354341576993
24.0	10636.605494723824
25.0	10618.224346274517
26.0	10566.564556942025
27.0	10698.567919882138
28.0	10791.715563224168
29.0	10862.42145429278
30.0	10976.043640192773
31.0	11007.01080211048
32.0	11168.234421539893
33.0	11296.25782754762
34.0	11345.588114329628
35.0	11258.317926382997
36.0	11108.42345795232
37.0	11037.11279841546
38.0	10993.557013196876
39.0	10989.151445188147
40.0	10918.501268050135
41.0	10755.588887762759
42.0	10791.733941125714
43.0	10840.467014423273
44.0	10801.388719479006
45.0	10784.960770537657
46.0	10797.142662000888
47.0	10824.221669315559
48.0	10765.47330660259
49.0	10792.258994686408
50.0	10878.000278856192
51.0	10806.048157962088
52.0	10684.393546629635
53.0	10589.449388340265
54.0	10579.790317524816
55.0	10730.995772738617
56.0	10677.494233191655
57.0	10547.209078817279
58.0	10502.257343631212
59.0	10463.179785404345
60.0	10400.322846140745
61.0	10342.094498308732
62.0	10320.395474571591
63.0	10193.28466299001
64.0	10089.674225463777
65.0	10023.319244695887
66.0	9881.614188432155
67.0	9784.278204868206
68.0	9582.411535279442
69.0	9455.790793878148
70.0	9258.175002959186
71.0	9291.22129315738
72.0	9297.430786093473
73.0	9182.826135083586
74.0	9070.069765363807
75.0	8982.843705816178
76.0	8928.26387246006
77.0	8864.359559681203
78.0	8844.024659808962
79.0	8723.336602000332
80.0	8593.532534117003
81.0	8363.19249947737
82.0	8175.771853356846
83.0	7996.561004140171
84.0	7706.1392185486275
85.0	7576.848671862172
86.0	7357.88195021167
87.0	7065.9220850445245
88.0	6604.545926822626
89.0	6187.322495616715
90.0	5798.367032095134
91.0	5330.006413249593
92.0	4914.728388591853
93.0	4522.270564143329
94.0	4121.6760372976705
95.0	3570.5391916814806
96.0	2893.582604777861
97.0	2184.7799421622963
98.0	1345.9952663469846
99.0	428.8253425111323
