#Transcript position	Transcript coverage profile
0.0	498.1016527917791
1.0	643.0611497111407
2.0	722.9095511255446
3.0	775.395413596918
4.0	829.8992490911703
5.0	916.2758280044758
6.0	968.0265896315595
7.0	1065.9712370306875
8.0	1101.1870519205845
9.0	1133.26198249784
10.0	1147.3150965886066
11.0	1142.4414503837909
12.0	1124.1085727252503
13.0	1146.045039190414
14.0	1191.587204242746
15.0	1276.5449154970186
16.0	1388.7319372468576
17.0	1445.526146926652
18.0	1427.9403651194473
19.0	1347.1431281589535
20.0	1403.376118786253
21.0	1579.563967099024
22.0	1672.3259080555972
23.0	1726.1427565725116
24.0	1709.1974045378406
25.0	1650.971912147245
26.0	1600.4957039092612
27.0	1650.4291887545903
28.0	1641.259639233649
29.0	1723.9541769460152
30.0	1711.1352983965592
31.0	1608.3472432978556
32.0	1705.4535106640305
33.0	1803.3254981270663
34.0	1897.9666521328083
35.0	1864.1666725124596
36.0	1812.5533682178357
37.0	1797.4002539116564
38.0	1762.6093462287324
39.0	1741.745663485058
40.0	1793.8125370342784
41.0	1957.4888642247492
42.0	2052.8964869515526
43.0	2105.2293418215236
44.0	2125.7904052418326
45.0	2069.3535895077557
46.0	2044.9510894027694
47.0	2027.7946495321564
48.0	2052.513000698086
49.0	2154.581608849572
50.0	2245.844792410556
51.0	2218.7527430689743
52.0	2126.930793926982
53.0	2059.3903102611353
54.0	2095.0909154985075
55.0	2125.174296882834
56.0	1982.9178320171761
57.0	1908.2958153588866
58.0	1932.681093976134
59.0	1859.7859356336132
60.0	1746.6528612152058
61.0	1727.3161638190504
62.0	1715.6206803311761
63.0	1679.108038655672
64.0	1670.4680283130685
65.0	1619.1331744085446
66.0	1542.0556763259935
67.0	1536.2905763008507
68.0	1525.5677612991533
69.0	1556.099766471431
70.0	1538.0258342643726
71.0	1547.1327152456365
72.0	1510.458692814519
73.0	1465.9739270009916
74.0	1447.0337934871395
75.0	1426.170477737321
76.0	1431.3085483116354
77.0	1420.5553901371015
78.0	1456.7160279931877
79.0	1450.6166877858384
80.0	1362.162438378325
81.0	1221.3863311166656
82.0	1193.5047886054438
83.0	1195.760554513983
84.0	1134.595532512092
85.0	1149.5759508639642
86.0	1110.6383220027521
87.0	1041.5262583982123
88.0	977.349549366449
89.0	929.6660370043611
90.0	861.5174533405501
91.0	787.0103612172343
92.0	698.3643611065893
93.0	611.1927205205144
94.0	553.1389548561175
95.0	441.218973656641
96.0	293.2308891916331
97.0	211.0450643313677
98.0	120.85695765298513
99.0	24.560200659704847
